O diabetes se caracteriza pela deficiência de produção e/ou de ação da insulina. O diabetes tipo 1 é resultante da destruição autoimune das células produtoras de insulina. O diagnóstico desse tipo de diabetes acontece em geral durante a infância e a adolescência mas pode também ocorrer em outras faixas etárias. Já no diabetes tipo 2 o pâncreas produz insulina mas há incapacidade de absorção das células musculares e adiposas. Esse tipo de diabetes é mais comum em pessoas com mais de 40 anos acima do peso sedentárias sem hábitos saudáveis de alimentação mas também pode ocorrer em jovens. Confira 10 coisas que você precisa saber sobre os dois tipos mais comuns de diabetes: 1. No tratamento do diabetes o ideal é que a glicose fique entre 70 e 100mg/dL.  A partir de 100mg/dL  em jejum ou 140mg/dL duas horas após as refeições considera-se hiperglicemia e abaixo de 70mg/., diabetes
A diabetes tipo 2 é uma doença cujos níveis de açúcar no sangue estão mais elevados do que o normal devido a uma maior resistência à insulina ou menor quantidade de produção da mesma gerando sintomas como muita sede boca seca urina frequente e emagrecimento sem causa aparente que nem sempre é identificada pelo portador da doença. As causas desta doença podem estar relacionadas com fatores hereditários obesidade sedentarismo e consumo excessivo de alimentos ricos em carboidratos. Em alguns casos a diabetes tipo 2 tem cura e o tratamento pode ser feito através do uso da insulina hipoglicemiantes orais dieta adequada e exercícios físicos., diabetes
Os sintomas da diabetes tipo 2 são mais frequentes após os 40 anos de idade e são: Emagrecer mesmo comendo muito; Ter muita sede e boca seca; Ter muita fome; Urinar com frequência; Visão turva ou embaçada; Dificuldade na cicatrização de feridas; Episódios de candidíase furúnculos e infecções urinárias várias vezes ao ano; Cansaço e apatia mesmo sem ter feito nenhum esforço. Estes sintomas nem sempre estão presentes e podem não surgir ao mesmo tempo., diabetes
O diagnóstico da diabetes mellitus tipo 2 é feito através do exame de sangue ou de urina que avalia a taxa de glicose no organismo. Este teste pode ser feito em jejum e deve ser realizado em 2 dias diferentes para haver uma comparação entre os resultados. Os valores de referência da glicose em jejum são de até 110 mg/dL de sangue. Quando o indivíduo possui valores de glicose em jejum entre 110 e 125 mg/dL é diagnosticado com pré-diabetes e quando possui glicose em jejum superior a 126 mg/dL pode ter diabetes., diabetes
O tratamento para a diabetes tipo 2 pode ser feito através de: Uso de insulina ou hipoglicemiantes orais como a Metformina; Dieta sem açúcar e com baixo teor de carboidratos presentes no pão bolo biscoito macarrão batata e arroz; Exercícios físicos moderados sob orientação do preparador físico para não haver hipoglicemia; Baixo consumo de bebidas alcoólicas; Verificação diária da taxa de insulina no sangue ao acordar e após as refeições. Em maior parte dos casos este tratamento deve ser realizado por toda a vida e é importante que o indivíduo saiba verificar seus próprios níveis de açúcar no sangue para o fazer em casa diariamente e dependendo do resultado tratá-la através da alimentação ou da ingestão de medicamentos. Saiba mais sobre o tratamento. Em muitos casos é possível alcançar a cura da diabetes tipo 2 através do emagrecimento que pode ser alcançado com a prática de exercícios e dieta apropriada., diabetes
A diabetes tipo 1 é quando o pâncreas deixa de produzir insulina e a diabetes tipo 2 é quando há dificuldade para usar a insulina de forma eficiente. Ambas situações levam ao excesso de açúcar no sangue e como consequência surgem sintomas como boca seca sede intensa urina em excesso e fome constante. Os remédios podem ser os hipoglicemiantes como o Glifage para o tipo 2 ou a própria insulina na diabetes tipo 1. Veja como deve ser a alimentação e os cuidados necessários para viver bem e evitar as complicações que a diabetes pode trazer como alterações renais e nos olhos., diabetes
O diabetes é doença de origem múltipla decorrente deficiência de produção do hormônio conhecido como insulina. A sua falta e/ou da incapacidade de exercer adequadamente suas funções ocasiona um aumento da glicose (açúcar) no sangue. O pré-diabetes é um termo utilizado para indicar pacientes potenciais ao desenvolvimento da doença. É um estado intermediário do indivíduo saudável e o diabético tipo 2 isso porque ele tem uma predisposição genética de impossibilidade de produção de insulina O Diabetes tipo 1 pode ocorrer por uma herança genética em conjunto com infecções virais. A doença pode se manifestar em qualquer idade mas é mais comum ser diagnosticada em crianças adolescentes ou adultos jovens e caracteriza-se pela perda funcional do pâncreas na produção de insulina devido a uma falha do sistema imunológico fazendo com que as células produtoras desse hormônio percam sua capacidade ., diabetes
Os principais sintomas do Diabetes são vontade de urinar frequente fome sede excessiva e perda de peso. Esses sintomas ocorrem devido a produção insuficiente ou incapacidade de produção da insulina. No Tipo 1 é possível ainda perceber sintomas como alteração de humor náusea fadiga e fraqueza. O diabético do Tipo 2 não apresenta sintomas iniciais podendo ser assintomática durante muitos anos mas é possível identificar a doença quando o indivíduo apresentar infecções frequentes demora em cicatrizações alteração na visão formigamento nos pés e furúnculo. No tipo gestacional o diagnóstico pode ser percebido devido a alterações no aumento da glicemia e no ganho excessivo de peso., diabetes
O diabetes acontece devido a uma deficiência na capacidade de o pâncreas produzir insulina em quantidade suficiente para suprir as necessidades do organismo ou devido a incapacidade de ação adequada desse hormônio. A insulina é responsável pela redução da glicemia permitindo que o açúcar presente no sangue possa agir dentro das células como fonte de energia., diabetes
A hipertensão ocorre quando a pressão do sangue causada pela força contração do coração e das paredes das artérias para impulsionar o sangue para todo o corpo ocorre de forma intensa sendo capaz de provocar danos na sua estrutura. A pressão arterial é medida através de aparelhos como o tensiômetro ou esfigmomanômetro e pode ter uma variação relativamente grande sem sair dos níveis de normalidade. Para algumas pessoas ter uma pressão abaixo de 12/8 como por exemplo 10/6 é normal. Já valores iguais ou superiores a 14 (máxima) e/ou 9 (mínima) são considerados como hipertensão para todo mundo. Meça a sua pressão e compare com a tabela abaixo:, hipertensao
